Table 13,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,
"by State, Federal, and Agency, 2019",,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,Number of incidents per quarter,,,,Population1
,,,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,Farmington,1,0,0,0,0,0,1,0,0,0,"25,525"
,,Glastonbury,2,0,1,0,0,0,2,1,0,0,"34,497"
,,Madison,1,0,0,0,0,0,0,0,0,1,"18,087"
,,Manchester,4,0,1,0,0,0,1,1,2,1,"57,630"
,,Middletown,1,0,0,0,0,0,0,0,1,0,"45,963"
,,Milford,1,0,1,0,0,0,,1,0,1,"54,898"
,,New Britain,2,1,0,0,0,0,,1,1,1,"72,354"
,,New Haven,5,2,2,0,0,0,2,5,1,1,"130,494"
,,New London,1,0,0,0,0,0,0,1,0,0,"26,856"
,,New Milford,1,0,0,0,0,0,0,1,0,0,"26,835"
,,Norwalk,1,0,0,0,0,0,0,0,0,1,"89,440"
,,Norwich,0,0,1,0,0,0,0,0,1,0,"38,964"
,,Old Saybrook,2,0,0,0,0,0,0,0,2,0,"10,069"
,,Orange,1,0,0,0,0,0,0,0,1,0,"13,948"
,,Plainville,1,0,0,0,0,0,0,0,1,0,"17,610"
,,Plymouth,1,0,0,0,0,0,0,0,0,1,"11,573"
,,Ridgefield,1,0,0,0,0,0,0,0,0,1,"25,050"
,,Seymour,0,1,0,0,0,0,1,0,0,0,"16,505"
,,Stamford,3,3,2,0,0,0,0,1,3,4,"130,678"
,,Torrington,1,0,0,0,1,0,1,0,0,1,"33,972"
,,Wallingford,1,0,0,0,0,0,1,0,0,0,"44,457"
,,West Hartford,1,0,0,0,0,0,1,0,0,0,"62,875"
,,West Haven,1,0,0,0,0,0,0,0,1,0,"54,794"
,,Westport,0,1,0,0,0,0,0,0,1,0,"28,332"
,,Wethersfield,1,0,0,0,0,0,1,0,0,0,"26,009"
,,Willimantic,0,0,1,0,0,0,0,1,0,0,"17,660"
,,Wilton,1,0,0,0,0,0,1,0,0,0,"18,439"
,Universities and Colleges,,2,1,0,0,0,0,,,,,
,,Southern Connecticut State University,1,0,0,0,0,0,0,0,1,0,"11,642"
,,"University of Connecticut, Storrs, Avery Point, and Hartford3",1,0,0,0,0,0,0,0,0,1,
,,Yale University,0,1,0,0,0,0,,,,1,"13,972"
,State Police Agencies,,1,3,0,0,0,0,,,,,
,,Connecticut State Police,1,3,0,0,0,0,0,1,2,1,
Delaware,Total,,10,4,7,0,0,1,,,,,
,Cities ,,4,2,3,0,0,1,,,,,
,,Bethany Beach,1,0,0,0,0,0,0,0,1,0,"1,244"
,,Dover,0,1,2,0,0,0,1,0,1,1,"38,361"
,,Milford,2,0,0,0,0,0,0,1,0,1,"11,592"
,,Seaford,1,1,0,0,0,0,1,0,1,0,"7,987"
,,Wilmington,0,0,1,0,0,1,0,2,0,0,"70,624"
,Universities and Colleges,,3,0,2,0,0,0,,,,,
,,Delaware State University,0,0,1,0,0,0,1,0,0,0,"4,633"
,,University of Delaware,3,0,1,0,0,0,1,1,1,1,"25,534"
,Metropolitan Counties,,1,1,1,0,0,0,,,,,
,,New Castle County Police Department,1,1,1,0,0,0,1,2,0,0,
,State Police Agencies,,2,1,1,0,0,0,,,,,
,,State Police:,,,,,,,,,,,
,,New Castle County,2,1,0,0,0,0,1,0,1,1,
,,Sussex County,0,0,1,0,0,0,0,0,1,0,
District of Columbia,Total,,119,8,65,1,2,27,,,,,
,Cities,,107,5,60,1,2,27,,,,,
,,Washington,107,5,60,1,2,27,53,57,55,37,"705,749"
,Other Agencies,,12,3,5,0,0,0,,,,,
,,Metro Transit Police,12,3,5,0,0,0,8,3,6,3,
Florida,Total,,48,36,27,0,0,0,,,,,
,Cities,,32,32,19,0,0,0,,,,,
,,Bal Harbour Village,0,1,0,0,0,0,1,,,,"3,086"
,,Boca Raton,1,1,0,0,0,0,0,0,1,1,"101,163"
,,Cape Coral,1,0,1,0,0,0,0,1,0,1,"194,183"
,,Davie,3,0,0,0,0,0,2,1,0,0,"108,486"
,,DeLand,1,0,0,0,0,0,1,0,0,0,"34,468"
,,Deerfield Beach,0,0,1,0,0,0,0,0,0,1,"81,602"
,,Fort Lauderdale,2,0,1,0,0,0,0,3,0,0,"184,765"
,,Fort Myers,1,0,0,0,0,0,1,0,0,0,"85,127"
,,Gainesville,2,1,1,0,0,0,1,1,1,1,"135,085"
,,Jacksonville,4,0,0,0,0,0,0,1,2,1,"909,142"
,,Largo,2,0,0,0,0,0,0,0,0,2,"85,740"
,,Miami,0,2,0,0,0,0,1,0,1,0,"480,505"
,,Miami Beach,0,16,4,0,0,0,8,4,4,4,"92,185"
,,Miami Gardens,0,1,0,0,0,0,0,1,0,0,"113,786"
,,Miami Shores,0,0,1,0,0,0,0,1,0,0,"10,572"
,,Miramar,0,0,2,0,0,0,2,0,0,0,"143,334"
,,New Port Richey,1,0,0,0,0,0,0,0,0,1,"16,703"
,,North Miami,1,0,0,0,0,0,1,0,0,0,"63,547"
,,North Miami Beach,2,1,0,0,0,0,,1,1,1,"46,307"
,,North Port,1,0,0,0,0,0,1,0,0,0,"70,181"
,,Oakland Park,0,0,1,0,0,0,0,0,1,0,"45,857"
,,Ocala,1,0,1,0,0,0,0,0,0,2,"60,932"
,,Orlando,1,1,2,0,0,0,2,1,0,1,"292,120"
,,Palm Bay,0,0,1,0,0,0,0,0,0,1,"115,520"
,,Palm Beach Gardens,1,1,0,0,0,0,0,0,2,0,"57,236"
,,Pompano Beach,1,0,1,0,0,0,0,0,2,0,"113,536"
,,Port St. Lucie,1,1,1,0,0,0,,1,1,1,"199,433"
,,Royal Palm Beach,1,0,0,0,0,0,,1,0,0,"40,802"
,,Sarasota,1,0,0,0,0,0,0,0,0,1,"58,470"
,,St. Augustine,0,1,0,0,0,0,1,0,0,0,"14,778"
